Gene	fisher_LGD	fisher_MIS30	ch_dnLGD	ch_dnMIS	ch_dnMIS30	ch_dnALT	dy_dnLGD	dy_dnMIS	dy_dnALT
CSNK2A1	1.08832182	0.378945277	0	8.887441285	5.936254818	9.911668542	0	10.46526276	11.55863981
CTCF	1.289652083	1.066181211	3.262412755	8.686217536	8.673561326	13.40815095	1.808295261	3.978042587	6.892471212
CTNNB1	3.973924185	0.128724188	30.05937621	0	0	15.00898387	30.81696725	0	15.63085316
CUL3	1.08832182	0.436275239	14.20484701	0	0	7.978082156	10.04292453	0	6.567110058
DDX23	0.136195783	0.785378786	0	0	0.820583425	0	0	0	0
DDX3X	3.211416299	2.036058412	39.59170136	7.822138156	2.565365319	37.77695553	45.00099331	9.878041497	44.20765819
DLG4	1.738976944	0.315249074	6.763195483	0	0	2.931486293	8.460990829	0	3.633160071
DLX3	0	0.088170943	0	6.28845742	0	6.528708169	0	0.027712262	0.07325219
DNM1	0.734538849	0.512230873	0	0	0	0	0	1.138684772	0.959059086
DSCAM	2.681549505	0.921267073	2.086324336	0	0	0.455954072	2.956346265	0	0.961236869
DYRK1A	5.058320161	0.479201563	40.09782831	0.723533041	0	25.72242888	43.32263353	0.868812437	27.74061705
EEF1A2	0	0.479201563	0	4.372643729	5.045273677	4.195916077	0	8.175866353	8.263647771
EIF3B	0	0.067205691	0	0	0	0	0	0	0
ENO3	0.402459538	0.921267073	7.864509266	0	0	6.220322905	1.077371585	0	0.00233607
EPHB2	0.5041243	0.926987968	0	0	0	0	0	0	0
FOXP2	0.136195783	0	1.48766715	0	0.156607706	0.887680724	0.983990585	0	0.967757415
GABRB3	0.724173308	0.106438634	0	2.018935228	0	2.595232185	0	2.352265513	3.34594883
GABRG2	0.37543628	0.148151062	0	0	0.722818329	0	0	0.878484429	1.438499958
GATAD2B	0.37543628	0.143198701	13.91790657	0	0	5.449145032	12.51442694	0	5.442832108
GIGYF2	0.5041243	0.190578369	0	0	0	0.190279687	0	0	0.009684039
GRIN2B	5.740418343	2.036058412	2.385906608	7.689862491	6.962327111	11.34555491	3.142216397	7.070857373	11.00837527
HIST1H1E	0.0232282	0	1.120016165	0	0	0	2.695336362	0	0.152829156
HIST1H2AC	0	0.111526815	0	0.152595988	1.274330296	0.193781093	0	0.17099895	0.222951349
HNRNPF	0.075077858	0	0	0	0	0	0	0	0.033284298
HNRNPK	0.394421122	0.111526815	0.954039046	0	1.298417666	1.554301118	0.351545763	0	0.672987798
HNRNPR	0	0.050673831	0	0	0	0	0	0	0
HNRNPU	2.772825661	0	33.61301821	5.497687746	0	36.61076206	5.595634799	0	3.302106022
HNRNPUL1	0.5041243	0.217211628	0	0	0	0	0	0	0
ILF2	0.106496933	0	0.051394574	0	0	0	0	0	0
KANSL1	1.08832182	0.719303051	6.507878391	0	0	1.54056094	9.151695353	0	3.619811949
KAT6A	2.060829625	0.049242992	9.065041189	0	0	4.192353912	10.695527	0.021610604	5.155821343
KAT6B	1.08832182	0.719303051	14.04611937	0	0	5.131579406	15.88722952	0	6.096024917
KATNAL2	0.39538507	1.081962342	0.121270913	0	0	0	0.592660168	0	0
KCNQ3	0	0.926987968	0	2.128097652	6.036078915	1.926013295	0	2.504694982	2.341015101
KIAA2022	1.675317745	0.378945277	4.03097191	0	0	0.481150356	6.665952585	0	1.959988959
KIF5C	0.474737059	0.315249074	0	0.566030655	2.636649451	0.493199888	0	0.96219428	0.708471845
KMT2A	3.447181879	0.814283201	49.6856089	0.063518475	0.327861432	24.95279623	48.41619851	0.256221051	26.16895436
KMT2E	1.587513513	0.378945277	0	0	0	0	0	0	0
SUV420H1	2.131890051	1.472385859	0	0	0	0	0	0	0
LEO1	0.262439168	0.63538812	7.415094389	5.654018871	2.22964782	14.23838452	0.454413981	0	0.541386473
MAPK3	0.136195783	0.315249074	0	1.01401647	0	1.032724089	0	0.279497827	0.310039731
MEF2C	0.136195783	0.315249074	4.637514742	4.764012803	0	10.06660467	3.319624426	3.485796137	7.791732163
MEF2D	0	0.049019729	0	0	0.956596931	0	0	0	0
MEIS2	0.04970811	0	12.9236036	2.16108584	0	14.70885651	2.129063125	0	0.672180853
MSL3	0.5041243	0.190578369	5.183782009	0	0	1.353112291	6.186885999	0	1.544617972
MYH9	0.068282533	0	0	0	0	0	0	0.07067715	0.072979829
MYT1L	1.770082679	0.315249074	5.880898335	1.384396015	0	6.048030864	8.630886882	2.050664328	8.246251461
NAA15	3.019872338	0.253716485	5.56080426	0	0	3.93137725	3.203416936	0	2.266757026
NCKAP1	1.157707481	0	0.131405347	0	0	0	0	0	0
NCOR1	0.415298467	1.081962342	0	0	0	0	0	0	0
NFIA	1.933929774	0.399993881	0	0.152595988	0	1.065118176	0	0	0.260110365
NR2E3	0.311228075	0	0	0	0	0	0	0	0
NRXN1	1.282605627	0.807964766	0	0.59100329	0	0.991132263	0	0.864216823	1.318179185
PACS2	0.181667394	0.217211628	0	0.45373534	2.282956701	0.38002433	0	1.094505371	0.955863448
PASK	2.131890051	0.452940075	0	0	0	0	0	0	0
PAX5	0.722597604	0.469797496	0.695008472	0	0	0	0.994513627	0	0.008375265
PHF12	1.675317745	0.261240322	4.580667761	0	0	3.267091661	3.076832646	0	0.940085988
PHF7	1.363818975	0.13934229	0	0	0	0	0	0	0.094568663
PHIP	1.604428456	0.63538812	1.954826899	0.031594385	0	1.929923811	2.232643489	0.845172029	3.549557622
POGZ	5.058320161	1.066181211	49.0681577	3.537925452	0.021075414	38.70378522	30.99413483	0.61801476	20.66595258
PPP2R5D	0	0.97717826	1.866394298	29.53440728	26.75387359	33.52029632	0.478054327	15.75448367	18.0204269
QRICH1	0.394421122	0.378945277	3.632060304	0	0	0.854333198	3.312410771	0	0.414915446
RANBP2	0.068282533	0.452940075	0	0	0	0	0	0	0
RELN	2.31864151	0.545662153	0	0	0	0	0	0.032985657	0.119207203
SATB2	1.66491483	0.263068793	12.11458014	2.561820216	6.594119189	12.15759841	10.20055334	2.334959366	11.36385684
SCN2A	13.58276218	3.692028498	40.48026508	21.36725185	5.715669119	54.1331029	33.14667796	18.85813066	48.321739
SCN8A	0.474737059	0.343184876	0.101620577	4.741098837	1.08138895	6.278435349	0.060873604	3.436804596	4.732816088
SETBP1	1.461165569	0.329747157	2.202035706	0	0	1.096431344	3.207783146	0	1.359803145
SETD2	0.734538849	0.067205691	3.094031513	0	0	0.069149612	4.057959164	0	0.659204671
SETD5	4.025181008	2.036058412	29.90504376	0	0	16.41349086	34.60354155	0.295732742	19.72507404
SF3B1	0.136195783	0.158186298	0	1.164674587	0	1.128859698	0	0.367875945	0.250620565
SHANK2	0.5041243	0.447372098	0.638333503	0	0	0	0.982807961	0	0.13985893
SIN3A	3.1891346	0.336851293	1.327811747	0	0	1.134523274	0.988745374	0	0.685177191
SLC6A1	0.354294339	2.156845866	3.583799282	5.406394507	7.439375805	9.875560846	5.893240432	7.960793005	14.3764398
SMARCC2	2.131890051	0.190578369	3.261497561	0	0	1.050183205	3.319870695	0	1.149225635
SMARCD1	0.209671311	0	7.575665721	5.877574787	0	14.68972614	0.45979112	0	0.679383407
SPEN	1.659797216	0.719303051	0.261027235	0	0	0	1.566346756	0	0.213384285
STXBP1	0.684807201	0.97717826	12.11458014	7.120629648	8.841998655	18.33084716	9.68674725	6.662532925	16.95038332
TAB2	0.394421122	0	0.073824347	0	0	0	1.570425236	0	0.559241668
TAF1	0.262439168	0.940430977	0	0	1.787248181	0	0	0.076148496	0.058342809
TBL1XR1	0	0.343184876	8.466216556	16.8711786	1.400091201	26.85968251	3.676810512	10.61334025	16.28588441
TBR1	1.469079091	0.136971045	4.331941894	0.369236214	0	3.996970673	3.319870695	0.00399789	1.9498055
TCF12	1.309695751	0.590385401	3.486177133	0	0	1.382786167	2.883436529	0	1.059527788
TCF7L2	0	0.940430977	2.927206255	0.836414051	1.153108622	3.752245979	2.550080868	1.03217818	4.100432776
TNPO2	0.5041243	0	0	0.261416588	2.52366345	0.202212324	0	0.677811191	0.695446047
TNRC6B	1.604428456	0.479201563	0.666687533	0	0	0.107672804	1.019618182	0	0.487707541
TRAF7	0	0.452940075	0	1.493834014	2.151018116	2.094985892	0	1.521114379	2.339368485
TRIO	2.681549505	0.479201563	0	2.326400782	3.099679013	2.481959423	0	2.411644108	2.839085423
TRIP12	1.469079091	0.436275239	4.620640618	0.171314629	0.794537806	3.682276716	2.08460068	0.088251939	2.117051745
U2AF2	0	0.190578369	0	0.5837208	1.724317135	0.581913732	0	0.462431216	0.504532748
UBTF	0.394421122	0	0	0.152595988	0.922619728	0.759522356	0	0.02543649	0.291307039
UIMC1	0.474737059	0	0	0.167149714	0	0.132489664	0	1.989674767	1.685734121
UPF3B	0.870031579	0.315249074	1.605061755	0	0	0	4.246614431	0	2.368888776
USP9X	0.394421122	0.236990861	4.823543686	0	0	1.738906661	6.159906229	0	3.304935639
VEZF1	0.209671311	0	1.129137106	0	0	1.524046268	0.917650629	0	0.884079452
WAC	2.346142188	0.611945791	10.94593681	0	0	5.539181938	10.55525429	0	4.977117572
WDR26	0.394421122	0.63538812	7.415094389	5.67894099	0	14.28097796	0.051674147	0	0.533982571
WHSC1	0.311228075	0.200821876	3.980451124	0	0	1.446342102	4.45983453	0	0.996793393
WNT7B	0.075077858	0.192007066	0	0	0	0	0	0	0
WNT9A	0	0.236990861	0	0	0	0	0	0	0
YTHDF3	0.175881404	0	0	0	0	0	2.568680509	0	0.824984768
ZBTB18	3.478018832	0.479201563	0.135959572	0	0.13679044	0	4.065210635	0	2.07675419
ZC3H4	0.175881404	0.719303051	0	0	0	0	0.211368673	0	0.459418301
ZMYM2	2.131890051	0.315249074	0.177714359	0	0	0	0.234516911	0	0
ZMYND11	0.734538849	0.336851293	0.97513519	3.519573598	2.674391347	5.9553722	0.66340112	1.934190067	3.724170198
ZNF292	1.606932526	0	0.996665498	0	0	0	2.15565337	0	0.864241489
